S:950S; N:N; T:0T;
S:650S; N:N; T:0T;
S:850S; N:N; T:0T;
S:800S; N:N; T:0T;
S:850S; N:N; T:0T;
S:450S; N:N; T:0T;
S:100S; N:N; T:0T;
S:200S; N:N; T:0T;
S:350S; N:N; T:0T;
S:50S; N:N; T:0T;
S:50S; N:N; T:0T;
S:50S; N:N; T:0T;
S:50S; N:N; T:0T;
S:50S; N:N; T:0T;
S:100S; N:N; T:0T;
S:50S; N:N; T:0T;
S:50S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:0S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:50S; N:N; T:0T;
S:0S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:50S; N:N; T:0T;
S:100S; N:N; T:0T;
S:150S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:50S; N:N; T:0T;
S:100S; N:N; T:0T;
S:350S; N:N; T:0T;
S:250S; N:N; T:0T;
S:150S; N:N; T:0T;
S:100S; N:N; T:0T;
S:50S; N:N; T:0T;
S:0S; N:N; T:0T;
S:50S; N:N; T:0T;
S:200S; N:N; T:0T;
S:100S; N:N; T:0T;
S:150S; N:N; T:0T;
S:150S; N:N; T:0T;
S:150S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:250S; N:N; T:0T;
S:200S; N:N; T:0T;
S:50S; N:N; T:0T;
S:0S; N:N; T:0T;
S:250S; N:N; T:0T;
S:150S; N:N; T:0T;
S:250S; N:N; T:0T;
S:200S; N:N; T:0T;
S:50S; N:N; T:0T;
S:250S; N:N; T:0T;
S:200S; N:N; T:0T;
S:50S; N:N; T:0T;
S:50S; N:N; T:0T;
S:150S; N:N; T:0T;
S:50S; N:N; T:0T;
S:150S; N:N; T:0T;
S:0S; N:N; T:0T;
S:200S; N:N; T:0T;
S:50S; N:N; T:0T;
S:50S; N:N; T:0T;
S:450S; N:N; T:0T;
S:50S; N:N; T:0T;
S:200S; N:N; T:0T;
S:150S; N:N; T:0T;
S:100S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:150S; N:N; T:0T;
S:200S; N:N; T:0T;
S:50S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
S:150S; N:N; T:0T;
S:0S; N:N; T:0T;
S:150S; N:N; T:0T;
S:200S; N:N; T:0T;
S:50S; N:N; T:0T;
S:200S; N:N; T:0T;
S:200S; N:N; T:0T;
